que_id,question_desc,user_answer_id,user_answer_desc,correct_answer,correct_answer_desc,status
1837,Which of the following statement(s) regarding cell junctions is/are correct?,7363,All of the above,7363,All of the above,True
1848,Which of the following types of connective tissue is mismatched with its matrix?,7407,Cartilage - Highly vascular matrix,7407,Cartilage - Highly vascular matrix,True
1852,Choose the correctly matched pair.,7423,Areolar tissue - Loose connective tissue,7423,Areolar tissue - Loose connective tissue,True
1862,The secretions of endocrine glands are released directly,7464,into the brain tissue,7462,into the blood stream,False
1877,Frog's heart is,7525,myogenic and 3 chambered,7525,myogenic and 3 chambered,True
1878,"Vasa efferentia in male frog, enter the kidney and open into",7529,Urinogenital duct,7526,Bidder's canal,False
1900,Gland which is both exocrine and endocrine is :,7617,Heterocrine glands,7617,Heterocrine glands,True
1917,All the following cells produces collagen except :,7685,Mast cells,7685,Mast cells,True
1934,Hyaline cartilage forms :,7750,Tracheal rings,7750,Tracheal rings,True
1964,The percentage of inorganic and organic parts in the matrix of a bone is,7872,"70% inorganic, 30% organic",7872,"70% inorganic, 30% organic",True
